index,synset,words,categories
269,n02114367,"timber wolf, grey wolf, gray wolf, Canis lupus",wild dog
270,n02114548,"white wolf, Arctic wolf, Canis lupus tundrarum",wild dog
271,n02114712,"red wolf, maned wolf, Canis rufus, Canis niger",wild dog
272,n02114855,"coyote, prairie wolf, brush wolf, Canis latrans",wild dog
273,n02115641,"dingo, warrigal, warragal, Canis dingo",wild dog
274,n02115913,"dhole, Cuon alpinus",wild dog
275,n02116738,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",dog
276,n02117135,"hyena, hyaena",wild dog
277,n02119022,"red fox, Vulpes vulpes",wild dog
278,n02119789,"kit fox, Vulpes macrotis",wild dog
279,n02120079,"Arctic fox, white fox, Alopex lagopus",wild dog
280,n02120505,"grey fox, gray fox, Urocyon cinereoargenteus",wild dog
281,n02123045,"tabby, tabby cat",cat
282,n02123159,tiger cat,wild cat
283,n02123394,Persian cat,cat
284,n02123597,"Siamese cat, Siamese",cat
285,n02124075,Egyptian cat,cat
286,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",wild cat
287,n02127052,"lynx, catamount",wild cat
288,n02128385,"leopard, Panthera pardus",wild cat
289,n02128757,"snow leopard, ounce, Panthera uncia",wild cat
290,n02128925,"jaguar, panther, Panthera onca, Felis onca",wild cat
291,n02129165,"lion, king of beasts, Panthera leo",wild cat
292,n02129604,"tiger, Panthera tigris",wild cat
293,n02130308,"cheetah, chetah, Acinonyx jubatus",wild cat
294,n02132136,"brown bear, bruin, Ursus arctos",bear
295,n02133161,"American black bear, black bear, Ursus americanus, Euarctos americanus",bear
296,n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",bear
297,n02134418,"sloth bear, Melursus ursinus, Ursus ursinus",sloth
298,n02137549,mongoose,mongoose
299,n02138441,"meerkat, mierkat",mongoose
300,n02165105,tiger beetle,bug
301,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",bug
302,n02167151,"ground beetle, carabid beetle",bug
303,n02168699,"long-horned beetle, longicorn, longicorn beetle",bug
304,n02169497,"leaf beetle, chrysomelid",bug
305,n02172182,dung beetle,bug
306,n02174001,rhinoceros beetle,bug
307,n02177972,weevil,bug
308,n02190166,fly,bug
309,n02206856,bee,bug
310,n02219486,"ant, emmet, pismire",bug
311,n02226429,"grasshopper, hopper",bug
312,n02229544,cricket,bug
313,n02231487,"walking stick, walkingstick, stick insect",bug
314,n02233338,"cockroach, roach",bug
315,n02236044,"mantis, mantid",bug
316,n02256656,"cicada, cicala",bug
317,n02259212,leafhopper,bug
318,n02264363,"lacewing, lacewing fly",bug
319,n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",bug
320,n02268853,damselfly,bug
321,n02276258,admiral,butterfly
322,n02277742,"ringlet, ringlet butterfly",butterfly
323,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",butterfly
324,n02280649,cabbage butterfly,butterfly
325,n02281406,"sulphur butterfly, sulfur butterfly",butterfly
326,n02281787,"lycaenid, lycaenid butterfly",butterfly
327,n02317335,"starfish, sea star",echinoderms
328,n02319095,sea urchin,echinoderms
329,n02321529,"sea cucumber, holothurian",echinoderms
330,n02325366,"wood rabbit, cottontail, cottontail rabbit",rabbit
331,n02326432,hare,rabbit
332,n02328150,"Angora, Angora rabbit",rabbit
333,n02342885,hamster,rodent
334,n02346627,"porcupine, hedgehog",rodent
335,n02356798,"fox squirrel, eastern fox squirrel, Sciurus niger",rodent
336,n02361337,marmot,rodent
337,n02363005,beaver,rodent
338,n02364673,"guinea pig, Cavia cobaya",rodent
339,n02389026,sorrel,plant
340,n02391049,zebra,ungulate
341,n02395406,"hog, pig, grunter, squealer, Sus scrofa",hog
342,n02396427,"wild boar, boar, Sus scrofa",hog
343,n02397096,warthog,hog
344,n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius",ungulate
345,n02403003,ox,ungulate
346,n02408429,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",ungulate
347,n02410509,bison,ungulate
348,n02412080,"ram, tup",ungulate
349,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",ungulate
350,n02417914,"ibex, Capra ibex",ungulate
351,n02422106,hartebeest,ungulate
352,n02422699,"impala, Aepyceros melampus",ungulate
353,n02423022,gazelle,ungulate
354,n02437312,"Arabian camel, dromedary, Camelus dromedarius",ungulate
355,n02437616,llama,ungulate
356,n02441942,weasel,ferret
357,n02442845,mink,ferret
358,n02443114,"polecat, fitch, foulmart, foumart, Mustela putorius",ferret
359,n02443484,"black-footed ferret, ferret, Mustela nigripes",ferret
360,n02444819,otter,ferret
361,n02445715,"skunk, polecat, wood pussy",ferret
362,n02447366,badger,ferret
363,n02454379,armadillo,armadillo
364,n02457408,"three-toed sloth, ai, Bradypus tridactylus",sloth
365,n02480495,"orangutan, orang, orangutang, Pongo pygmaeus",primate
366,n02480855,"gorilla, Gorilla gorilla",primate
367,n02481823,"chimpanzee, chimp, Pan troglodytes",primate
368,n02483362,"gibbon, Hylobates lar",primate
369,n02483708,"siamang, Hylobates syndactylus, Symphalangus syndactylus",primate
370,n02484975,"guenon, guenon monkey",primate
371,n02486261,"patas, hussar monkey, Erythrocebus patas",primate
372,n02486410,baboon,primate
373,n02487347,macaque,primate
374,n02488291,langur,primate
375,n02488702,"colobus, colobus monkey",primate
376,n02489166,"proboscis monkey, Nasalis larvatus",primate
377,n02490219,marmoset,primate
378,n02492035,"capuchin, ringtail, Cebus capucinus",primate
379,n02492660,"howler monkey, howler",primate
380,n02493509,"titi, titi monkey",primate
381,n02493793,"spider monkey, Ateles geoffroyi",primate
382,n02494079,"squirrel monkey, Saimiri sciureus",primate
383,n02497673,"Madagascar cat, ring-tailed lemur, Lemur catta",mongoose
384,n02500267,"indri, indris, Indri indri, Indri brevicaudatus",primate
385,n02504013,"Indian elephant, Elephas maximus",ungulate
386,n02504458,"African elephant, Loxodonta africana",ungulate
387,n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",bear
388,n02510455,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",bear
389,n02514041,"barracouta, snoek",fish
390,n02526121,eel,fish
391,n02536864,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",shark
392,n02606052,"rock beauty, Holocanthus tricolor",coral
393,n02607072,anemone fish,fish
394,n02640242,sturgeon,fish
395,n02641379,"gar, garfish, garpike, billfish, Lepisosteus osseus",fish
396,n02643566,lionfish,fish
397,n02655020,"puffer, pufferfish, blowfish, globefish",fish
398,n02666196,abacus,technology
399,n02667093,abaya,clothing
400,n02669723,"academic gown, academic robe, judge's robe",clothing
401,n02672831,"accordion, piano accordion, squeeze box",instrument
402,n02676566,acoustic guitar,instrument
403,n02687172,"aircraft carrier, carrier, flattop, attack aircraft carrier",boat
404,n02690373,airliner,aircraft
405,n02692877,"airship, dirigible",aircraft
406,n02699494,altar,furniture
407,n02701002,ambulance,vehicle
408,n02704792,"amphibian, amphibious vehicle",vehicle
409,n02708093,analog clock,decor
410,n02727426,"apiary, bee house",outdoor scene
411,n02730930,apron,clothing
412,n02747177,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",furniture
413,n02749479,"assault rifle, assault gun",weapon
414,n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack",accessory
415,n02776631,"bakery, bakeshop, bakehouse",building
416,n02777292,"balance beam, beam",sports equipment
417,n02782093,balloon,toy
418,n02783161,"ballpoint, ballpoint pen, ballpen, Biro",tool
419,n02786058,Band Aid,other
420,n02787622,banjo,instrument
421,n02788148,"bannister, banister, balustrade, balusters, handrail",furniture
422,n02790996,barbell,sports equipment
423,n02791124,barber chair,furniture
424,n02791270,barbershop,building
425,n02793495,barn,building
426,n02794156,barometer,technology
427,n02795169,"barrel, cask",container
428,n02797295,"barrow, garden cart, lawn cart, wheelbarrow",tool
429,n02799071,baseball,ball
430,n02802426,basketball,ball
431,n02804414,bassinet,furniture
432,n02804610,bassoon,instrument
433,n02807133,"bathing cap, swimming cap",hat
434,n02808304,bath towel,decor
435,n02808440,"bathtub, bathing tub, bath, tub",furniture
436,n02814533,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",vehicle
437,n02814860,"beacon, lighthouse, beacon light, pharos",building
438,n02815834,beaker,lab equipment
439,n02817516,"bearskin, busby, shako",hat
440,n02823428,beer bottle,food
441,n02823750,beer glass,food
442,n02825657,"bell cote, bell cot",building
443,n02834397,bib,clothing
444,n02835271,"bicycle-built-for-two, tandem bicycle, tandem",vehicle
445,n02837789,"bikini, two-piece",clothing
446,n02840245,"binder, ring-binder",paper
447,n02841315,"binoculars, field glasses, opera glasses",tool
448,n02843684,birdhouse,outdoor scene
449,n02859443,boathouse,building
450,n02860847,"bobsled, bobsleigh, bob",vehicle
451,n02865351,"bolo tie, bolo, bola tie, bola",accessory
452,n02869837,"bonnet, poke bonnet",hat
453,n02870880,bookcase,furniture
454,n02871525,"bookshop, bookstore, bookstall",building
455,n02877765,bottlecap,other
456,n02879718,bow,weapon
457,n02883205,"bow tie, bow-tie, bowtie",accessory
458,n02892201,"brass, memorial tablet, plaque",decor
459,n02892767,"brassiere, bra, bandeau",clothing
460,n02894605,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",outdoor scene
461,n02895154,"breastplate, aegis, egis",clothing
462,n02906734,broom,tool
463,n02909870,"bucket, pail",tool
464,n02910353,buckle,accessory
465,n02916936,bulletproof vest,clothing
466,n02917067,"bullet train, bullet",train
467,n02927161,"butcher shop, meat market",building
468,n02930766,"cab, hack, taxi, taxicab",vehicle
469,n02939185,"caldron, cauldron",cooking
470,n02948072,"candle, taper, wax light",tool
471,n02950826,cannon,weapon
472,n02951358,canoe,boat
473,n02951585,"can opener, tin opener",tool
474,n02963159,cardigan,clothing
475,n02965783,car mirror,technology
476,n02966193,"carousel, carrousel, merry-go-round, roundabout, whirligig",building
477,n02966687,"carpenter's kit, tool kit",tool
478,n02971356,carton,container
479,n02974003,car wheel,technology
480,n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",technology
481,n02978881,cassette,technology
482,n02979186,cassette player,electronics
483,n02980441,castle,building
484,n02981792,catamaran,boat
485,n02988304,CD player,electronics
486,n02992211,"cello, violoncello",instrument
487,n02992529,"cellular telephone, cellular phone, cellphone, cell, mobile phone",electronics
488,n02999410,chain,tool
489,n03000134,chainlink fence,fence
490,n03000247,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",clothing
491,n03000684,"chain saw, chainsaw",tool
492,n03014705,chest,container
493,n03016953,"chiffonier, commode",furniture
494,n03017168,"chime, bell, gong",instrument
495,n03018349,"china cabinet, china closet",furniture
496,n03026506,Christmas stocking,decor
497,n03028079,"church, church building",building
498,n03032252,"cinema, movie theater, movie theatre, movie house, picture palace",building
499,n03041632,"cleaver, meat cleaver, chopper",cooking
500,n03042490,cliff dwelling,building
501,n03045698,cloak,clothing
502,n03047690,"clog, geta, patten, sabot",clothing
503,n03062245,cocktail shaker,cooking
504,n03063599,coffee mug,cooking
505,n03063689,coffeepot,cooking
506,n03065424,"coil, spiral, volute, whorl, helix",technology
507,n03075370,combination lock,technology
508,n03085013,"computer keyboard, keypad",electronics
509,n03089624,"confectionery, confectionary, candy store",building
510,n03095699,"container ship, containership, container vessel",boat
511,n03100240,convertible,vehicle
512,n03109150,"corkscrew, bottle screw",cooking
513,n03110669,"cornet, horn, trumpet, trump",instrument
514,n03124043,cowboy boot,clothing
515,n03124170,"cowboy hat, ten-gallon hat",clothing
516,n03125729,cradle,furniture
517,n03126707,crane,vehicle
518,n03127747,crash helmet,hat
519,n03127925,crate,container
520,n03131574,"crib, cot",furniture
521,n03133878,Crock Pot,cooking
522,n03134739,croquet ball,ball
523,n03141823,crutch,tool
524,n03146219,cuirass,clothing
525,n03160309,"dam, dike, dyke",outdoor scene
526,n03179701,desk,furniture
527,n03180011,desktop computer,electronics
528,n03187595,"dial telephone, dial phone",electronics
529,n03188531,"diaper, nappy, napkin",clothing
530,n03196217,digital clock,electronics
531,n03197337,digital watch,electronics
532,n03201208,"dining table, board",furniture
533,n03207743,"dishrag, dishcloth",decor
534,n03207941,"dishwasher, dish washer, dishwashing machine",electronics
535,n03208938,"disk brake, disc brake",technology
536,n03216828,"dock, dockage, docking facility",outdoor scene
537,n03218198,"dogsled, dog sled, dog sleigh",vehicle
538,n03220513,dome,building
539,n03223299,"doormat, welcome mat",decor
540,n03240683,"drilling platform, offshore rig",outdoor scene
541,n03249569,"drum, membranophone, tympan",instrument
542,n03250847,drumstick,instrument
543,n03255030,dumbbell,tool
544,n03259280,Dutch oven,cooking
545,n03271574,"electric fan, blower",electronics
546,n03272010,electric guitar,instrument
547,n03272562,electric locomotive,train
548,n03290653,entertainment center,furniture
549,n03291819,envelope,paper
550,n03297495,espresso maker,cooking
551,n03314780,face powder,other
552,n03325584,"feather boa, boa",accessory
553,n03337140,"file, file cabinet, filing cabinet",furniture
554,n03344393,fireboat,boat
555,n03345487,"fire engine, fire truck",vehicle
556,n03347037,"fire screen, fireguard",furniture
557,n03355925,"flagpole, flagstaff",outdoor scene
558,n03372029,"flute, transverse flute",instrument
559,n03376595,folding chair,furniture
560,n03379051,football helmet,sports equipment
561,n03384352,forklift,vehicle
562,n03388043,fountain,outdoor scene
563,n03388183,fountain pen,tool
564,n03388549,four-poster,furniture
565,n03393912,freight car,train
566,n03394916,"French horn, horn",instrument
567,n03400231,"frying pan, frypan, skillet",cooking
568,n03404251,fur coat,clothing
569,n03417042,"garbage truck, dustcart",vehicle
570,n03424325,"gasmask, respirator, gas helmet",accessory
571,n03425413,"gas pump, gasoline pump, petrol pump, island dispenser",technology
572,n03443371,goblet,cooking
573,n03444034,go-kart,vehicle
574,n03445777,golf ball,ball
575,n03445924,"golfcart, golf cart",vehicle
576,n03447447,gondola,boat
577,n03447721,"gong, tam-tam",instrument
578,n03450230,gown,clothing
579,n03452741,"grand piano, grand",instrument
580,n03457902,"greenhouse, nursery, glasshouse",building
581,n03459775,"grille, radiator grille",vehicle
582,n03461385,"grocery store, grocery, food market, market",building
583,n03467068,guillotine,weapon
584,n03476684,hair slide,accessory
585,n03476991,hair spray,other
586,n03478589,half track,vehicle
587,n03481172,hammer,tool
588,n03482405,hamper,decor
589,n03483316,"hand blower, blow dryer, blow drier, hair dryer, hair drier",electronics
590,n03485407,"hand-held computer, hand-held microcomputer",electronics
591,n03485794,"handkerchief, hankie, hanky, hankey",accessory
592,n03492542,"hard disc, hard disk, fixed disk",electronics
593,n03494278,"harmonica, mouth organ, harp, mouth harp",instrument
594,n03495258,harp,instrument
595,n03496892,"harvester, reaper",vehicle
596,n03498962,hatchet,tool
597,n03527444,holster,weapon
598,n03529860,"home theater, home theatre",building
599,n03530642,honeycomb,other
600,n03532672,"hook, claw",tool
601,n03534580,"hoopskirt, crinoline",clothing
602,n03535780,"horizontal bar, high bar",sports equipment
603,n03538406,"horse cart, horse-cart",vehicle
604,n03544143,hourglass,technology
605,n03584254,iPod,electronics
606,n03584829,"iron, smoothing iron",tool
607,n03590841,jack-o'-lantern,fruit
608,n03594734,"jean, blue jean, denim",clothing
609,n03594945,"jeep, landrover",vehicle
