,Biological Group,Class,Common Name,Relation to Imagenet,Notes,Annotator
26,Actinopterygii,Lepomis cyanellus,Green sunfish,not in imagenet,! Fish in Imagent,AE
27,Actinopterygii,Lepomis gibbosus,"Pumpkinseed, pond perch, common sunfish, punkie, sunfish, sunny, kivver",not in imagenet,! Fish in Imagent,AE
28,Actinopterygii,Lepomis macrochirus,"Bluegill, bream, brim, sunny, copper nose",not in imagenet,! Fish in Imagent,AE
29,Actinopterygii,Lepomis megalotis,Longear sunfish,not in imagenet,! Fish in Imagent,AE
30,Actinopterygii,Lutjanus griseus,"Gray snapper, mangrove snapper",not in imagenet,! Fish in Imagent,AE
31,Actinopterygii,Megalops atlanticus,"Atlantic tarpon, silver king",not in imagenet,! Fish in Imagent,AE
32,Actinopterygii,Micropterus dolomieu,"Smallmouth bass, smallmouth, bronzeback, brown bass, brownie, smallie, bronze bass, bareback bass",not in imagenet,! Fish in Imagent,AE
33,Actinopterygii,Micropterus salmoides,"Largemouth bass, widemouth bass, bigmouth bass, black bass, bucketmouth, largies, Potter's fish, Florida bass, Florida largemouth, green bass, bucketmouth bass, Green trout, gilsdorf bass, Oswego bass, southern largemouth, northern largemouth, LMB",not in imagenet,,AE
34,Actinopterygii,Mola mola,"Ocean sunfish, common mola, mola mola",not in imagenet,,AE
35,Actinopterygii,Morone saxatilis,"Striped bass, atlantic striped bass, striper, linesider, rock, rockfish",not in imagenet,,AE
36,Actinopterygii,Naso lituratus,"Barcheek unicornfish, naso tang, orange-spine unicornfish",not in imagenet,,AE
37,Actinopterygii,Oligocottus maculosus,Tidepool sculpin,not in imagenet,,AE
38,Actinopterygii,Oncorhynchus mykiss,"Rainbow trout, steelhead, coastal rainbow trout",relative in imagenet,relative: coho,AE
39,Actinopterygii,Oncorhynchus nerka,"Sockeye salmon, red salmon, kokanee salmon, blueback salmon",relative in imagenet,relative: coho,AE
40,Actinopterygii,Ostracion meleagris,"Spotted boxfish, white-spotted boxfish",not in imagenet,! Same order (biological) as the puffer,AE
41,Actinopterygii,Perca flavescens,"Yellow perch, perch, striped perch, american perch, coontail, lake perch, raccoon perch, ring-tail perch, ringed perch, dodd fish",not in imagenet,,AE
42,Actinopterygii,Pomoxis nigromaculatus,Black crappie,not in imagenet,,AE
43,Actinopterygii,Pterois volitans,"Devil firefish, common lionfish",in imagenet,,AE
44,Actinopterygii,Rhinecanthus rectangulus,"Reef triggerfish, rectangular triggerfish",not in imagenet,,AE
45,Actinopterygii,Salmo trutta,"Brown trout, lake trout",relative in imagenet,relative: coho,AE
46,Actinopterygii,Salvelinus fontinalis,"Brook trout, eastern brook trout, speckled trout, brook charr, squaretail, mud trout, coaster trout, coasters",relative in imagenet,relative: coho,AE
47,Actinopterygii,Scarus rubroviolaceus,"Ember parrotfish, bicolor parrotfish, redlip parrotfish",not in imagenet,,AE
48,Actinopterygii,Sparisoma viride,"Stoplight parrotfish, stoplight",not in imagenet,,AE
49,Actinopterygii,Sphyraena barracuda,"Great barracuda, giant barracuda",not in imagenet,,AE
50,Actinopterygii,Syngnathus leptorhynchus,Bay pipefish,not in imagenet,,AE
51,Actinopterygii,Thalassoma bifasciatum,"Bluehead wrasse, blunt-headed wrasse",not in imagenet,,AE
52,Actinopterygii,Zanclus cornutus,Moorish idol,not in imagenet,,AE
53,Amphibia,Acris blanchardi,,,,
54,Amphibia,Acris crepitans,,,,
55,Amphibia,Acris gryllus,,,,
56,Amphibia,Agalychnis callidryas,,,,
57,Amphibia,Agalychnis dacnicolor,,,,
58,Amphibia,Ambystoma gracile,,,,
59,Amphibia,Ambystoma jeffersonianum,,,,
60,Amphibia,Ambystoma laterale,,,,
61,Amphibia,Ambystoma macrodactylum,,,,
62,Amphibia,Ambystoma maculatum,,,,
63,Amphibia,Ambystoma mavortium,,,,
64,Amphibia,Ambystoma opacum,,,,
65,Amphibia,Ambystoma texanum,,,,
66,Amphibia,Ambystoma tigrinum,,,,
67,Amphibia,Anaxyrus americanus,,,,
68,Amphibia,Anaxyrus americanus americanus,,,,
69,Amphibia,Anaxyrus boreas,,,,
70,Amphibia,Anaxyrus boreas halophilus,,,,
71,Amphibia,Anaxyrus cognatus,,,,
72,Amphibia,Anaxyrus debilis,,,,
73,Amphibia,Anaxyrus fowleri,,,,
74,Amphibia,Anaxyrus punctatus,,,,
75,Amphibia,Anaxyrus quercicus,,,,
76,Amphibia,Anaxyrus speciosus,,,,
77,Amphibia,Anaxyrus terrestris,,,,
78,Amphibia,Anaxyrus woodhousii,,,,
79,Amphibia,Aneides lugubris,,,,
80,Amphibia,Batrachoseps attenuatus,,,,
81,Amphibia,Batrachoseps major,,,,
82,Amphibia,Batrachoseps nigriventris,,,,
83,Amphibia,Bufo bufo,,,,
84,Amphibia,Bufotes balearicus,,,,
85,Amphibia,Bufotes viridis,,,,
86,Amphibia,Craugastor augusti,,,,
87,Amphibia,Dendrobates auratus,,,,
88,Amphibia,Desmognathus fuscus,,,,
89,Amphibia,Desmognathus ochrophaeus,,,,
90,Amphibia,Dicamptodon ensatus,,,,
91,Amphibia,Dicamptodon tenebrosus,,,,
92,Amphibia,Duttaphrynus melanostictus,,,,
93,Amphibia,Ecnomiohyla miotympanum,,,,
94,Amphibia,Eleutherodactylus cystignathoides,,,,
95,Amphibia,Eleutherodactylus marnockii,,,,
96,Amphibia,Eleutherodactylus planirostris,,,,
97,Amphibia,Ensatina eschscholtzii,,,,
98,Amphibia,Ensatina eschscholtzii oregonensis,,,,
99,Amphibia,Ensatina eschscholtzii xanthoptica,,,,
100,Amphibia,Eurycea bislineata,,,,
101,Amphibia,Eurycea cirrigera,,,,
102,Amphibia,Eurycea longicauda,,,,
103,Amphibia,Eurycea lucifuga,,,,
104,Amphibia,Gastrophryne carolinensis,,,,
105,Amphibia,Gastrophryne olivacea,,,,
106,Amphibia,Gyrinophilus porphyriticus,,,,
107,Amphibia,Hemidactylium scutatum,,,,
108,Amphibia,Hyla arenicolor,,,,
109,Amphibia,Hyla chrysoscelis,,,,
110,Amphibia,Hyla cinerea,,,,
111,Amphibia,Hyla eximia,,,,
112,Amphibia,Hyla intermedia,,,,
113,Amphibia,Hyla plicata,,,,
114,Amphibia,Hyla squirella,,,,
115,Amphibia,Hyla versicolor,,,,
116,Amphibia,Hypopachus variolosus,,,,
117,Amphibia,Ichthyosaura alpestris,,,,
118,Amphibia,Incilius nebulifer,,,,
119,Amphibia,Incilius valliceps,,,,
120,Amphibia,Lissotriton vulgaris,,,,
121,Amphibia,Lithobates berlandieri,,,,
122,Amphibia,Lithobates blairi,,,,
123,Amphibia,Lithobates catesbeianus,,,,
124,Amphibia,Lithobates clamitans,,,,
125,Amphibia,Lithobates clamitans melanota,,,,
126,Amphibia,Lithobates palustris,,,,
127,Amphibia,Lithobates pipiens,,,,
128,Amphibia,Lithobates sphenocephalus,,,,
129,Amphibia,Lithobates sylvaticus,,,,
130,Amphibia,Litoria aurea,,,,
131,Amphibia,Notophthalmus viridescens,,,,
132,Amphibia,Notophthalmus viridescens viridescens,,,,
133,Amphibia,Oophaga pumilio,,,,
134,Amphibia,Osteopilus septentrionalis,,,,
135,Amphibia,Pelophylax,,,,
136,Amphibia,Pelophylax perezi,,,,
137,Amphibia,Plethodon albagula,,,,
138,Amphibia,Plethodon cinereus,,,,
139,Amphibia,Plethodon glutinosus,,,,
140,Amphibia,Plethodon vehiculum,,,,
141,Amphibia,Pseudacris cadaverina,,,,
142,Amphibia,Pseudacris crucifer,,,,
143,Amphibia,Pseudacris hypochondriaca,,,,
144,Amphibia,Pseudacris maculata,,,,
145,Amphibia,Pseudacris regilla,,,,
146,Amphibia,Pseudacris sierra,,,,
147,Amphibia,Pseudacris streckeri,,,,
148,Amphibia,Pseudotriton ruber,,,,
149,Amphibia,Rana aurora,,,,
150,Amphibia,Rana boylii,,,,
151,Amphibia,Rana dalmatina,,,,
152,Amphibia,Rana draytonii,,,,
153,Amphibia,Rana temporaria,,,,
154,Amphibia,Rhinella marina,,,,
155,Amphibia,Salamandra salamandra,,,,
156,Amphibia,Scaphiopus couchii,,,,
157,Amphibia,Scaphiopus holbrookii,,,,
158,Amphibia,Scaphiopus hurterii,,,,
159,Amphibia,Smilisca baudinii,,,,
160,Amphibia,Spea bombifrons,,,,
161,Amphibia,Spea hammondii,,,,
162,Amphibia,Spea multiplicata,,,,
163,Amphibia,Taricha granulosa,,,,
164,Amphibia,Taricha rivularis,,,,
165,Amphibia,Taricha sierrae,,,,
166,Amphibia,Taricha torosa,,,,
167,Amphibia,Trachycephalus typhonius,,,,
168,Animalia,Acropora palmata,Alkhorn coral,relative in imagenet,"parent: coral reef, relative: brain coral",NE
169,Animalia,Aetobatus narinari,Spotted eagle ray,parent in imagenet,parent: stingray,NE
170,Animalia,Anthopleura artemisia,Moonglow anemone,parent in imagenet,parent: sea anemone,NE
171,Animalia,Anthopleura elegantissima,Clonal anemone,parent in imagenet,parent: sea anemone,NE
172,Animalia,Anthopleura sola,Starburst anemone,parent in imagenet,parent: sea anemone,NE
173,Animalia,Anthopleura xanthogrammica,Giant green anemone,parent in imagenet,parent: sea anemone,NE
174,Animalia,Armadillidium vulgare,"Pill bug, potato bug, roly-poly, doodle bug, carpenter",not in imagenet,,NE
175,Animalia,Aurelia aurita,"Common jellyfish, moon jellyfish, moon jelly, saucer jelly",parent in imagenet,parent: jellyfish,NE
176,Animalia,Balanus glandula,Acorn barnacles,not in imagenet,,NE
177,Animalia,Bipalium kewense,Hammerhead flatworm,parent in imagenet,parent: flatworm,NE
178,Animalia,Callinectes sapidus,"Blue crab, Atlantic blue crab, Chesapeake blue crab",relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
179,Animalia,Cancer productus,Red rock crabs,relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
180,Animalia,Carcinus maenas,"Green crab, European green crab, European shore crab",relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
181,Animalia,Cardisoma guanhumi,Blue land crab,relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
182,Animalia,Coenobita clypeatus,Caribbean hermit crab,parent in imagenet,parent: hermit crab,NE
183,Animalia,Cucumaria miniata,Orange sea cucumber,parent in imagenet,parent: sea cucumber,NE
184,Animalia,Cyanea capillata,"Lion's mane jellyfish, giant jelly, hair jelly",parent in imagenet,parent: jellyfish,NE
185,Animalia,Dasyatis americana,Southern stingray,parent in imagenet,parent: stingray,NE
186,Animalia,Dendraster excentricus,"Eccentric sand dollar, sea-cake, biscuit-urchin, western sand dollar, Pacific sand dollar",parent in imagenet,parent: sea urchin,NE
187,Animalia,Dermasterias imbricata,Leather star,parent in imagenet,parent: starfish,NE
188,Animalia,Echinometra mathaei,Burrowing urchin,parent in imagenet,parent is sea urchin,NE
189,Animalia,Echinothrix calamaris,"Banded sea urchin, double spined urchin",parent in imagenet,parent is sea urchin,NE
190,Animalia,Emerita analoga,"Pacific sand crab, Pacific mole crab",relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
191,Animalia,Epiactis prolifera,"Brooding anemone, proliferating anemone, small green anemone",parent in imagenet,parent: sea anemone,NE
192,Animalia,Ginglymostoma cirratum,Nurse shark,relative in imagenet,"relative: great white shark, tiger shark, hammerhead",NE
193,Animalia,Grapsus grapsus,"Red rock crab, abuete negro, Sally Lightfoot crab",relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
194,Animalia,Harpaphe haydeniana,"Yellow-spotted millipede, almond-scented millipede, cyanide millipede",relative in imagenet,relative: centipede,NE
195,Animalia,Hemigrapsus nudus,Purple shore crab,relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
196,Animalia,Hemigrapsus oregonensis,"Yellow shore crab, hairy shore crab, green shore crab, mud-flat crab, Oregon shore crab",relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
197,Animalia,Henricia leviuscula,Pacific blood star,parent in imagenet,parent: starfish,NE
198,Animalia,Ligia occidentalis,Rock louse,not in imagenet,,NE
199,Animalia,Limulus polyphemus,"Atlantic horseshoe crab, American horseshoe crab",not in imagenet,! More closely related to spiders than crabs,NE
200,Animalia,Linckia laevigata,"Blue sea star, blue Linckia, blue star",parent in imagenet,parent: starfish,NE
201,Animalia,Lumbricus terrestris,Common earthworm,relative in imagenet,"relative: flatworm, nematode",NE
202,Animalia,Megalorchestia californiana,Long-horned beach hopper,not in imagenet,,NE
203,Animalia,Metacarcinus magister,Dungeness crab,in imagenet,,NE
204,Animalia,Metridium senile,Frilled anemone,parent in imagenet,parent: sea anemone,NE
205,Animalia,Myliobatis californica,Bat ray,parent in imagenet,parent: stingray,NE
206,Animalia,Narceus americanus,"American giant millipede, worm millipede, iron worm",relative in imagenet,relative: centipede,NE
207,Animalia,Narceus annularus,Giant millipede,relative in imagenet,relative: centipede,NE
208,Animalia,Ocypode quadrata,Atlantic ghost crab,relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
209,Animalia,Oniscus asellus,Common woodlouse,not in imagenet,,NE
210,Animalia,Oxidus gracilis,"Greenhouse millipede, hothouse millipede, short-flange millipede, garden millipede",relative in imagenet,relative: centipede,NE
211,Animalia,Pachygrapsus crassipes,"Striped shore crab, lined shore crab",relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
212,Animalia,Pacifastacus leniusculus,Signal crayfish,parent in imagenet,parent: crayfish,NE
213,Animalia,Pagurus samuelis,Blueband hermit crab,parent in imagenet,parent: hermit crab,NE
214,Animalia,Panulirus interruptus,California spiny lobster,parent in imagenet,parent: spiny lobster,NE
215,Animalia,Parastichopus californicus,"California sea cucumber, giant California sea cucumber",parent in imagenet,parent: sea cucumber,NE
216,Animalia,Patiria miniata,"Bat star, sea bat, webbed star, broad-disk star",parent in imagenet,parent: starfish,NE
217,Animalia,Patiriella regularis,New Zealand common cushion star,parent in imagenet,parent: starfish,NE
218,Animalia,Philoscia muscorum,"Common striped woodlouse, fast woodlouse",not in imagenet,,NE
219,Animalia,Phragmatopoma californica,"Sandcastle worm, honeycomb worm, honeycomb tube worm",relative in imagenet,"relative: flatworm, nematode",NE
220,Animalia,Physalia physalis,"Portuguese man o' war, man-of-war",not in imagenet,! Not a true jellyfish,NE
221,Animalia,Pisaster brevispinus,"Pink sea star, giant pink sea star, short-spined sea star",parent in imagenet,parent: starfish,NE
222,Animalia,Pisaster giganteus,"Giant sea star, giant spined star",parent in imagenet,parent: starfish,NE
223,Animalia,Pisaster ochraceus,"Purple sea star, ochre sea star, ochre starfish",parent in imagenet,parent: starfish,NE
224,Animalia,Pleuroncodes planipes,"Pelagic red crab, tuna crab, langostilla",relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
225,Animalia,Pollicipes polymerus,"Gooseneck barnacle, leaf barnacle",not in imagenet,,NE
226,Animalia,Porcellio scaber,"Common rough woodlouse, rough woodlouse",not in imagenet,,NE
227,Animalia,Porpita porpita,Blue button,not in imagenet,,NE
228,Animalia,Procambarus clarkii,"Red swano crawfish, Louisiana crawfish, mudbug",parent in imagenet,parent: crayfish,NE
229,Animalia,Pugettia producta,"Northern kelp crab, shield-backed kelp crab",relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
230,Animalia,Pycnopodia helianthoides,Sunflower sea star,parent in imagenet,parent: starfish,NE
231,Animalia,Rhincodon typus,Whale shark,relative in imagenet,"relative: great white shark, tiger shark, hammerhead",NE
232,Animalia,Romaleon antennarium,"Pacific crab, Brown crab, California rock crab",relative in imagenet,"relative: Dungeness crab, fiddler crab, king crab, rock crab",NE
233,Animalia,Scolopendra heros,"Giant desert centipede, giant Sonoran centipede, Texas redheaded centipede, giant redheaded centipede",parent in imagenet,parent: centipede,NE
234,Animalia,Scolopendra polymorpha,"Common desert centipede, tiger centipede, banded desert centipede, Sonoran desert centipede",parent in imagenet,parent: centipede,NE
235,Animalia,Scutigera coleoptrata,House centipede,parent in imagenet,parent: centipede,NE
236,Animalia,Stenopus hispidus,"Banded coral shrimp, banded cleaner shrimp",not in imagenet,,NE
237,Animalia,Stomolophus meleagris,"Cannonball jellyfish, cabbagehead jellyfish",parent in imagenet,parent: jellyfish,NE
238,Animalia,Strongylocentrotus droebachiensis,Green sea urchin,parent in imagenet,parent: sea urchin,NE
239,Animalia,Strongylocentrotus franciscanus,Red sea urchin,parent in imagenet,parent: sea urchin,NE
240,Animalia,Strongylocentrotus purpuratus,Purple sea urchin,parent in imagenet,parent: sea urchin,NE
241,Animalia,Tetraclita rubescens,Pink volcano barnacle,not in imagenet,,NE
242,Animalia,Triakis semifasciata,Leopard shark,relative in imagenet,"relative: great white shark, tiger shark, hammerhead",NE
243,Animalia,Uca pugilator,Atlantic sand fiddler crab,parent in imagenet,parent: fiddler crab,NE
244,Animalia,Velella velella,"Sea raft, by-the-wind sailor, purple sail, little sail",not in imagenet,,NE
245,Arachnida,Amblyomma americanum,,,,
246,Arachnida,Antrodiaetus riversi,,,,
247,Arachnida,Aphonopelma hentzi,,,,
248,Arachnida,Aphonopelma iodius,,,,
249,Arachnida,Araneus diadematus,,,,
250,Arachnida,Araneus marmoreus,,,,
251,Arachnida,Araneus trifolium,,,,
252,Arachnida,Argiope argentata,,,,
253,Arachnida,Argiope aurantia,,,,
254,Arachnida,Argiope bruennichi,,,,
255,Arachnida,Argiope trifasciata,,,,
256,Arachnida,Badumna longinqua,,,,
257,Arachnida,Centruroides vittatus,,,,
258,Arachnida,Dermacentor variabilis,,,,
259,Arachnida,Dolomedes minor,,,,
260,Arachnida,Dolomedes tenebrosus,,,,
261,Arachnida,Dolomedes triton,,,,
262,Arachnida,Dysdera crocata,,,,
263,Arachnida,Eriophora pustulosa,,,,
264,Arachnida,Frontinella communis,,,,
265,Arachnida,Gasteracantha cancriformis,,,,
266,Arachnida,Holocnemus pluchei,,,,
267,Arachnida,Hypoblemum albovittatum,,,,
268,Arachnida,Ixodes scapularis,,,,
269,Arachnida,Larinioides cornutus,,,,
270,Arachnida,Latrodectus geometricus,,,,
271,Arachnida,Latrodectus hesperus,,,,
272,Arachnida,Latrodectus mactans,,,,
273,Arachnida,Leucauge venusta,,,,
274,Arachnida,Loxosceles reclusa,,,,
275,Arachnida,Mastigoproctus giganteus,,,,
276,Arachnida,Menemerus bivittatus,,,,
277,Arachnida,Micrathena gracilis,,,,
278,Arachnida,Micrathena sagittata,,,,
279,Arachnida,Misumena vatia,,,,
280,Arachnida,Neoscona crucifera,,,,
281,Arachnida,Neoscona oaxacensis,,,,
282,Arachnida,Nephila clavipes,,,,
283,Arachnida,Oxyopes salticus,,,,
284,Arachnida,Paraphidippus aurantius,,,,
285,Arachnida,Parasteatoda tepidariorum,,,,
286,Arachnida,Peucetia viridans,,,,
287,Arachnida,Phalangium opilio,,,,
288,Arachnida,Phidippus audax,,,,
289,Arachnida,Phidippus johnsoni,,,,
290,Arachnida,Pholcus phalangioides,,,,
291,Arachnida,Pisaurina mira,,,,
292,Arachnida,Platycryptus undatus,,,,
293,Arachnida,Rabidosa rabida,,,,
294,Arachnida,Salticus scenicus,,,,
295,Arachnida,Steatoda capensis,,,,
296,Arachnida,Steatoda grossa,,,,
297,Arachnida,Steatoda triangulosa,,,,
298,Arachnida,Trite planiceps,,,,
299,Arachnida,Uroctonus mordax,,,,
300,Arachnida,Verrucosa arenata,,,,
301,Aves,Acanthis flammea,Common redpoll,relative in imagenet,"relative: brambling, goldfinch, house finch, junco",NE
302,Aves,Accipiter cooperii,"Cooper's hawk, big blue darter, chicken hawk, flying cross, hen hawk, quail hawk, striker, swift hawk",relative in imagenet,relative: kite,NE
303,Aves,Accipiter gentilis,Northern goshawk,relative in imagenet,relative: kite,NE
304,Aves,Accipiter nisus,"Eurasian sparrowhawk, northern sparrowhawk, sparrowhawk",relative in imagenet,relative: kite,NE
305,Aves,Accipiter striatus,Sharp-shinned hawk,relative in imagenet,relative: kite,NE
306,Aves,Acridotheres tristis,"Common myna, Indian myna, mynah",not in imagenet,,NE
307,Aves,Actitis hypoleucos,Common sandpiper,relative in imagenet,"relative: red-backed sandpiper, redshank",NE
308,Aves,Actitis macularius,Spotted sandpiper,relative in imagenet,"relative: red-backed sandpiper, redshank",NE
309,Aves,Actophilornis africanus,African jacana,not in imagenet,,NE
310,Aves,Aechmophorus clarkii,Clark's grebe,not in imagenet,,NE
311,Aves,Aechmophorus occidentalis,Western grebe,not in imagenet,,NE
312,Aves,Aegithalos caudatus,"Long-tailed tit, long-tailed bushtit, silver-throated tit, silver-throated dasher",relative in imagenet,relative: chickadee,NE
313,Aves,Aegolius acadicus,Northern saw-whet owl,relative in imagenet,relative: great gray owl,NE
314,Aves,Aeronautes saxatalis,White-throated swift,not in imagenet,,NE
315,Aves,Agelaius phoeniceus,Red-winged blackbird,not in imagenet,,NE
316,Aves,Agelaius tricolor,Tricolored blackbird,not in imagenet,,NE
317,Aves,Aimophila ruficeps,Rufus-crowned sparrow,not in imagenet,,NE
318,Aves,Aix galericulata,Mandarin duck,relative in imagenet,"relative: red-breasted merganser, drake",NE
319,Aves,Aix sponsa,Wood duck,relative in imagenet,"relative: red-breasted merganser, drake",NE
320,Aves,Alauda arvensis,Eurasian skylark,not in imagenet,,NE
321,Aves,Alca torda,"Razorbill, lesser auk",not in imagenet,,NE
322,Aves,Alcedo atthis,"Common kingfisher, Eurasian kingfisher, river kingfisher",not in imagenet,,NE
323,Aves,Alectoris chukar,"Chukar partridge, chukar",relative in imagenet,"relative: partridge, quail",NE
324,Aves,Alectoris rufa,"Red-legged partridge, French partridge",relative in imagenet,"relative: partridge, quail",NE
325,Aves,Alectura lathami,"Australian brush-turkey, gweela, scrub turkey, bush turkey",not in imagenet,,NE
326,Aves,Alisterus scapularis,Australian king parrot,relative in imagenet,"relative: African grey, macaw",NE
327,Aves,Alopochen aegyptiaca,Egyptian goose,parent in imagenet,parent: goose,NE
328,Aves,Amaurornis phoenicurus,White-breasted waterhen,not in imagenet,,NE
329,Aves,Amazilia beryllina,Berylline Hummingbird,parent in imagenet,parent: hummingbird,NE
330,Aves,Amazilia rutila,Cinnamon hummingbird,parent in imagenet,parent: hummingbird,NE
331,Aves,Amazilia tzacatl,Rufous-trailed hummingbird,parent in imagenet,parent: hummingbird,NE
332,Aves,Amazilia violiceps,Violet-crowned hummingbird,parent in imagenet,parent: hummingbird,NE
333,Aves,Amazilia yucatanensis,Buff-bellied hummingbird,parent in imagenet,parent: hummingbird,NE
334,Aves,Amazona albifrons,"White-fronted parrot, white-fronted amazon, spectacled amazon parrot",relative in imagenet,"relative: African grey, macaw",NE
335,Aves,Amazona autumnalis,"Red-lored amazon, red-lored parrot",relative in imagenet,"relative: African grey, macaw",NE
336,Aves,Amazona oratrix,"Yellow-headed parrot, yellow-headed amazon, double yellow-headed amazon",relative in imagenet,"relative: African grey, macaw",NE
337,Aves,Amazona viridigenalis,"Red-crowned parrot, red-crowned amazon, green-cheeked amazon, Mexican red-headed parrot",relative in imagenet,"relative: African grey, macaw",NE
338,Aves,Ammodramus maritimus,Seaside sparrow,not in imagenet,,NE
339,Aves,Ammodramus nelsoni,"Nelson's sparrow, Nelson's sharp-tailed sparrow",not in imagenet,,NE
340,Aves,Ammodramus savannarum,Grasshoper sparrow,not in imagenet,,NE
341,Aves,Amphispiza bilineata,"Black-throated sparrow, desert sparrow",not in imagenet,,NE
342,Aves,Anas acuta,"Northern pintail, pintail",relative in imagenet,"relative: red-breasted merganser, drake",NE
343,Aves,Anas americana,"American wigeon, baldplate",relative in imagenet,"relative: red-breasted merganser, drake",NE
344,Aves,Anas bahamensis,"White-cheeked pintail, Bahama pintail, summer duck",relative in imagenet,"relative: red-breasted merganser, drake",NE
345,Aves,Anas chlorotis,"Brown teal, pateke",relative in imagenet,"relative: red-breasted merganser, drake",NE
346,Aves,Anas clypeata,"Northern shoveler, northern shoveller, shoveler",relative in imagenet,"relative: red-breasted merganser, drake",NE
347,Aves,Anas crecca,"Eurasian teal, common teal, Eurasian green-winged teal",relative in imagenet,"relative: red-breasted merganser, drake",NE
348,Aves,Anas crecca carolinensis,American green-winged teal,relative in imagenet,"relative: red-breasted merganser, drake",NE
349,Aves,Anas cyanoptera,Cinnamon teal,relative in imagenet,"relative: red-breasted merganser, drake",NE
350,Aves,Anas discors,Blue-winged teal,relative in imagenet,"relative: red-breasted merganser, drake",NE
351,Aves,Anas fulvigula,Mottled duck,relative in imagenet,"relative: red-breasted merganser, drake",NE
352,Aves,Anas gracilis,Grey teal,relative in imagenet,"relative: red-breasted merganser, drake",NE
353,Aves,Anas penelope,Eurasian wigeon,relative in imagenet,"relative: red-breasted merganser, drake",NE
